Bank Name,City,ST,CERT,Acquiring Institution,Closing date,Closing year,Closing month and date,Updated Date,Updated year ,Updated month and date 
Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,2011/4/8,2011,4/8,2012/9/9,2012,9/9
Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,2011/4/8,2011,4/8,2018/4/17,2018,4/17
The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,2011/3/25,2011,3/25,2018/4/13,2018,4/13
Legacy Bank,Milwaukee,WI,34818,Seaway Bank and Trust Company,2011/3/11,2011,3/11,2012/9/12,2012,9/12
First National Bank of Davis,Davis,OK,4077,The Pauls Valley National Bank,2011/3/11,2011,3/11,2017/4/13,2017,4/13
Valley Community Bank,St. Charles,IL,34187,First State Bank,2011/2/25,2011,2/25,2015/2/5,2015,2/5
"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,2011/2/18,2011,2/18,2016/9/12,2016,9/12
Charter Oak Bank,Napa,CA,57855,Bank of Marin,2011/2/18,2011,2/18,2012/9/12,2012,9/12
Citizens Bank of Effingham,Springfield,GA,34601,Heritage Bank of the South,2011/2/18,2011,2/18,2018/5/10,2018,5/10
Habersham Bank,Clarkesville,GA,151,SCBT National Association,2011/2/18,2011,2/18,2018/2/23,2018,2/23
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,2011/2/11,2011,2/11,2014/8/19,2014,8/19
Badger State Bank,Cassville,WI,13272,Royal Bank,2011/2/11,2011,2/11,2012/9/12,2012,9/12
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,2011/2/11,2011,2/11,2018/2/20,2018,2/20
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",2011/2/11,2011,2/11,2016/8/8,2016,8/8
Community First Bank Chicago,Chicago,IL,57948,Northbrook Bank & Trust Company,2011/2/4,2011,2/4,2018/4/13,2018,4/13
North Georgia Bank,Watkinsville,GA,35242,BankSouth,2011/2/4,2011,2/4,2017/9/19,2017,9/19
American Trust Bank,Roswell,GA,57432,Renasant Bank,2011/2/4,2011,2/4,2014/3/21,2014,3/21
First Community Bank,Taos,NM,12261,"U.S. Bank, N.A.",2011/1/28,2011,1/28,2012/9/12,2012,9/12
FirsTier Bank,Louisville,CO,57646,No Acquirer,2011/1/28,2011,1/28,2012/9/12,2012,9/12
Evergreen State Bank,Stoughton,WI,5328,McFarland State Bank,2011/1/28,2011,1/28,2012/9/12,2012,9/12
The First State Bank,Camargo,OK,2303,Bank 7,2011/1/28,2011,1/28,2017/11/13,2017,11/13
United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,2011/1/21,2011,1/21,2012/9/12,2012,9/12
The Bank of Asheville,Asheville,NC,34516,First Bank,2011/1/21,2011,1/21,2014/3/21,2014,3/21
CommunitySouth Bank & Trust,Easley,SC,57868,"CertusBank, National Association",2011/1/21,2011,1/21,2016/6/6,2016,6/6
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,2011/1/21,2011,1/21,2014/3/21,2014,3/21
Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,2011/1/14,2011,1/14,2017/11/13,2017,11/13
Legacy Bank,Scottsdale,AZ,57820,Enterprise Bank & Trust,2011/1/7,2011,1/7,2016/4/12,2016,4/12
First Commercial Bank of Florida,Orlando,FL,34965,First Southern Bank,2011/1/7,2011,1/7,2016/6/6,2016,6/6
Community National Bank,Lino Lakes,MN,23306,Farmers & Merchants Savings Bank,2010/12/17,2010,12/17,2016/11/10,2016,11/10
First Southern Bank,Batesville,AR,58052,Southern Bank,2010/12/17,2010,12/17,2012/8/20,2012,8/20
"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,2010/12/17,2010,12/17,2015/10/17,2015,10/17
"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,2010/12/17,2010,12/17,2014/3/21,2014,3/21
Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,2010/12/17,2010,12/17,2015/9/21,2015,9/21
"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,2010/12/17,2010,12/17,2014/3/21,2014,3/21
Earthstar Bank,Southampton,PA,35561,Polonia Bank,2010/12/10,2010,12/10,2017/10/6,2017,10/6
Paramount Bank,Farmington Hills,MI,34673,Level One Bank,2010/12/10,2010,12/10,2015/9/21,2015,9/21
First Banking Center,Burlington,WI,5287,First Michigan Bank,2010/11/19,2010,11/19,2012/8/20,2012,8/20
Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,2010/11/19,2010,11/19,2017/7/26,2017,7/26
Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,2010/11/19,2010,11/19,2016/12/12,2016,12/12
Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.",2010/11/12,2010,11/12,2012/8/20,2012,8/20
Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,2010/11/12,2010,11/12,2014/3/21,2014,3/21
Tifton Banking Company,Tifton,GA,57831,Ameris Bank,2010/11/12,2010,11/12,2014/3/21,2014,3/21
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,2010/11/5,2010,11/5,2012/9/12,2012,9/12
Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,2010/11/5,2010,11/5,2015/10/19,2015,10/19
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,2010/11/5,2010,11/5,2016/9/12,2016,9/12
K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),2010/11/5,2010,11/5,2012/8/20,2012,8/20
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,2010/10/22,2010,10/22,2012/8/20,2012,8/20
Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.",2010/10/22,2010,10/22,2012/8/20,2012,8/20
First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,2010/10/22,2010,10/22,2018/2/21,2018,2/21
The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,2010/10/22,2010,10/22,2015/10/17,2015,10/17
The Gordon Bank,Gordon,GA,33904,Morris Bank,2010/10/22,2010,10/22,2014/3/21,2014,3/21
Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,2010/10/22,2010,10/22,2016/2/4,2016,2/4
First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,2010/10/22,2010,10/22,2014/3/21,2014,3/21
Premier Bank,Jefferson City,MO,34016,Providence Bank,2010/10/15,2010,10/15,2012/8/20,2012,8/20
WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,2010/10/15,2010,10/15,2017/2/9,2017,2/9
"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,2010/10/15,2010,10/15,2012/8/20,2012,8/20
Shoreline Bank,Shoreline,WA,35250,GBC International Bank,2010/10/1,2010,10/1,2012/8/20,2012,8/20
Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,2010/10/1,2010,10/1,2014/3/21,2014,3/21
North County Bank,Arlington,WA,35053,Whidbey Island Bank,2010/9/24,2010,9/24,2017/10/6,2017,10/6
Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,2010/9/24,2010,9/24,2016/7/11,2016,7/11
Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB",2010/9/17,2010,9/17,2012/8/20,2012,8/20
Bramble Savings Bank,Milford,OH,27808,Foundation Bank,2010/9/17,2010,9/17,2012/8/20,2012,8/20
The Peoples Bank,Winder,GA,182,Community & Southern Bank,2010/9/17,2010,9/17,2017/10/6,2017,10/6
First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,2010/9/17,2010,9/17,2017/10/6,2017,10/6
Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,2010/9/17,2010,9/17,2017/10/6,2017,10/6
ISN Bank,Cherry Hill,NJ,57107,Customers Bank,2010/9/17,2010,9/17,2017/6/28,2017,6/28
Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,2010/9/10,2010,9/10,2018/2/13,2018,2/13
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,2010/8/20,2010,8/20,2012/9/12,2012,9/12
Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,2010/8/20,2010,8/20,2012/9/12,2012,9/12
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",2010/8/20,2010,8/20,2012/9/12,2012,9/12
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",2010/8/20,2010,8/20,2012/9/12,2012,9/12
ShoreBank,Chicago,IL,15640,Urban Partnership Bank,2010/8/20,2010,8/20,2013/5/16,2013,5/16
Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.",2010/8/20,2010,8/20,2017/10/6,2017,10/6
Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.",2010/8/20,2010,8/20,2016/10/20,2016,10/20
Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",2010/8/20,2010,8/20,2016/7/11,2016,7/11
Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,2010/8/13,2010,8/13,2012/8/22,2012,8/22
Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,2010/8/6,2010,8/6,2012/8/22,2012,8/22
LibertyBank,Eugene,OR,31964,Home Federal Bank,2010/7/30,2010,7/30,2017/10/6,2017,10/6
The Cowlitz Bank,Longview,WA,22643,Heritage Bank,2010/7/30,2010,7/30,2012/8/22,2012,8/22
Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,2010/7/30,2010,7/30,2017/2/9,2017,2/9
Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,2010/7/30,2010,7/30,2016/12/12,2016,12/12
Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,2010/7/30,2010,7/30,2015/9/21,2015,9/21
Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,2010/7/23,2010,7/23,2017/10/6,2017,10/6
SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,2010/7/23,2010,7/23,2012/8/22,2012,8/22
Community Security Bank,New Prague,MN,34486,Roundbank,2010/7/23,2010,7/23,2016/2/4,2016,2/4
Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,2010/7/23,2010,7/23,2012/9/13,2012,9/13
Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",2010/7/23,2010,7/23,2016/10/20,2016,10/20
Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,2010/7/23,2010,7/23,2014/3/21,2014,3/21
Sterling Bank,Lantana,FL,32536,IBERIABANK,2010/7/23,2010,7/23,2018/2/22,2018,2/22
"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,2010/7/16,2010,7/16,2018/2/21,2018,2/21
Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",2010/7/16,2010,7/16,2016/7/11,2016,7/11
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,2010/7/16,2010,7/16,2016/9/12,2016,9/12
Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,2010/7/16,2010,7/16,2016/8/8,2016,8/8
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,2010/7/16,2010,7/16,2014/3/21,2014,3/21
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,2010/7/16,2010,7/16,2015/9/21,2015,9/21
Home National Bank,Blackwell,OK,11636,RCB Bank,2010/7/9,2010,7/9,2016/12/12,2016,12/12
USA Bank,Port Chester,NY,58072,New Century Bank,2010/7/9,2010,7/9,2017/10/6,2017,10/6
Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,2010/7/9,2010,7/9,2015/5/8,2015,5/8
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",2010/7/9,2010,7/9,2013/1/15,2013,1/15
High Desert State Bank,Albuquerque,NM,35279,First American Bank,2010/6/25,2010,6/25,2018/6/8,2018,6/8
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",2010/6/25,2010,6/25,2014/3/21,2014,3/21
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",2010/6/25,2010,6/25,2018/5/11,2018,5/11
Nevada Security Bank,Reno,NV,57110,Umpqua Bank,2010/6/18,2010,6/18,2012/8/23,2012,8/23
Washington First International Bank,Seattle,WA,32955,East West Bank,2010/6/11,2010,6/11,2018/2/22,2018,2/22
TierOne Bank,Lincoln,NE,29341,Great Western Bank,2010/6/4,2010,6/4,2012/9/14,2012,9/14
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,2010/6/4,2010,6/4,2015/5/8,2015,5/8
First National Bank,Rosedale,MS,15814,The Jefferson Bank,2010/6/4,2010,6/4,2018/2/20,2018,2/20
Sun West Bank,Las Vegas,NV,34785,City National Bank,2010/5/28,2010,5/28,2012/9/14,2012,9/14
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,2010/5/28,2010,5/28,2017/9/7,2017,9/7
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,2010/5/28,2010,5/28,2016/8/8,2016,8/8
Bank of Florida - Southwest,Naples,FL,35106,EverBank,2010/5/28,2010,5/28,2016/8/8,2016,8/8
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,2010/5/28,2010,5/28,2016/8/8,2016,8/8
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,2010/5/21,2010,5/21,2012/10/26,2012,10/26
Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",2010/5/14,2010,5/14,2012/8/23,2012,8/23
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,2010/5/14,2010,5/14,2016/2/4,2016,2/4
New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,2010/5/14,2010,5/14,2012/8/23,2012,8/23
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,2010/5/14,2010,5/14,2014/3/21,2014,3/21
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,2010/5/7,2010,5/7,2012/12/13,2012,12/13
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,2010/5/7,2010,5/7,2012/8/23,2012,8/23
Access Bank,Champlin,MN,16476,PrinsBank,2010/5/7,2010,5/7,2015/2/5,2015,2/5
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,2010/5/7,2010,5/7,2012/11/5,2012,11/5
Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",2010/4/30,2010,4/30,2013/1/15,2013,1/15
BC National Banks,Butler,MO,17792,Community First Bank,2010/4/30,2010,4/30,2012/8/23,2012,8/23
Champion Bank,Creve Coeur,MO,58362,BankLiberty,2010/4/30,2010,4/30,2016/6/6,2016,6/6
CF Bancorp,Port Huron,MI,30005,First Michigan Bank,2010/4/30,2010,4/30,2016/4/13,2016,4/13
Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,2010/4/30,2010,4/30,2014/3/21,2014,3/21
R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,2010/4/30,2010,4/30,2015/8/5,2015,8/5
Eurobank,San Juan,PR,27150,Oriental Bank and Trust,2010/4/30,2010,4/30,2014/3/21,2014,3/21
Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,2010/4/23,2010,4/23,2012/8/23,2012,8/23
Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,2010/4/23,2010,4/23,2012/8/23,2012,8/23
Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,2010/4/23,2010,4/23,2012/8/23,2012,8/23
New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",2010/4/23,2010,4/23,2012/8/23,2012,8/23
Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,2010/4/23,2010,4/23,2014/6/5,2014,6/5
Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",2010/4/23,2010,4/23,2012/8/23,2012,8/23
"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,2010/4/23,2010,4/23,2012/8/23,2012,8/23
City Bank,Lynnwood,WA,21521,Whidbey Island Bank,2010/4/16,2010,4/16,2012/9/14,2012,9/14
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",2010/4/16,2010,4/16,2012/8/23,2012,8/23
Innovative Bank,Oakland,CA,23876,Center Bank,2010/4/16,2010,4/16,2017/10/6,2017,10/6
Butler Bank,Lowell,MA,26619,People's United Bank,2010/4/16,2010,4/16,2012/8/23,2012,8/23
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",2010/4/16,2010,4/16,2014/3/21,2014,3/21
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",2010/4/16,2010,4/16,2014/3/21,2014,3/21
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",2010/4/16,2010,4/16,2014/3/21,2014,3/21
Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,2010/4/16,2010,4/16,2012/8/23,2012,8/23
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,2010/4/9,2010,4/9,2018/2/13,2018,2/13
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,2010/3/26,2010,3/26,2012/8/23,2012,8/23
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,2010/3/26,2010,3/26,2015/9/21,2015,9/21
Key West Bank,Key West,FL,34684,Centennial Bank,2010/3/26,2010,3/26,2017/2/9,2017,2/9
McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,2010/3/26,2010,3/26,2016/7/11,2016,7/11
State Bank of Aurora,Aurora,MN,8221,Northern State Bank,2010/3/19,2010,3/19,2016/8/8,2016,8/8
First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,2010/3/19,2010,3/19,2014/3/21,2014,3/21
Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,2010/3/19,2010,3/19,2014/3/21,2014,3/21
Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,2010/3/19,2010,3/19,2017/10/6,2017,10/6
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,2010/3/19,2010,3/19,2016/3/31,2016,3/31
Century Security Bank,Duluth,GA,58104,Bank of Upson,2010/3/19,2010,3/19,2016/4/13,2016,4/13
American National Bank,Parma,OH,18806,The National Bank and Trust Company,2010/3/19,2010,3/19,2015/9/21,2015,9/21
Statewide Bank,Covington,LA,29561,Home Bank,2010/3/12,2010,3/12,2012/8/23,2012,8/23
Old Southern Bank,Orlando,FL,58182,Centennial Bank,2010/3/12,2010,3/12,2017/2/9,2017,2/9
The Park Avenue Bank,New York,NY,27096,Valley National Bank,2010/3/12,2010,3/12,2012/8/23,2012,8/23
LibertyPointe Bank,New York,NY,58071,Valley National Bank,2010/3/11,2010,3/11,2012/8/23,2012,8/23
Centennial Bank,Ogden,UT,34430,No Acquirer,2010/3/5,2010,3/5,2012/9/14,2012,9/14
Waterfield Bank,Germantown,MD,34976,No Acquirer,2010/3/5,2010,3/5,2012/8/23,2012,8/23
Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,2010/3/5,2010,3/5,2012/8/23,2012,8/23
Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,2010/3/5,2010,3/5,2014/3/21,2014,3/21
Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,2010/2/26,2010,2/26,2018/6/7,2018,6/7
Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,2010/2/26,2010,2/26,2013/1/15,2013,1/15
"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",2010/2/19,2010,2/19,2012/8/24,2012,8/24
George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",2010/2/19,2010,2/19,2012/8/24,2012,8/24
The La Coste National Bank,La Coste,TX,3287,Community National Bank,2010/2/19,2010,2/19,2014/8/19,2014,8/19
Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,2010/2/19,2010,2/19,2017/7/20,2017,7/20
1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",2010/2/5,2010,2/5,2013/11/1,2013,11/1
American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,2010/1/29,2010,1/29,2018/2/22,2018,2/22
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,2010/1/29,2010,1/29,2016/3/4,2016,3/4
Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,2010/1/29,2010,1/29,2016/4/13,2016,4/13
"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,2010/1/29,2010,1/29,2012/8/23,2012,8/23
Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.",2010/1/29,2010,1/29,2014/3/21,2014,3/21
First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,2010/1/29,2010,1/29,2018/2/22,2018,2/22
Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,2010/1/22,2010,1/22,2018/5/10,2018,5/10
Evergreen Bank,Seattle,WA,20501,Umpqua Bank,2010/1/22,2010,1/22,2013/1/15,2013,1/15
Charter Bank,Santa Fe,NM,32498,Charter Bank,2010/1/22,2010,1/22,2012/8/23,2012,8/23
Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",2010/1/22,2010,1/22,2013/1/15,2013,1/15
Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",2010/1/22,2010,1/22,2015/9/21,2015,9/21
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,2010/1/15,2010,1/15,2012/8/23,2012,8/23
St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,2010/1/15,2010,1/15,2016/8/8,2016,8/8
Town Community Bank & Trust,Antioch,IL,34705,First American Bank,2010/1/15,2010,1/15,2012/8/23,2012,8/23
Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,2010/1/8,2010,1/8,2017/10/3,2017,10/3
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",2009/12/18,2009,12/18,2012/8/23,2012,8/23
Imperial Capital Bank,La Jolla,CA,26348,City National Bank,2009/12/18,2009,12/18,2012/9/5,2012,9/5
